20
6	19	6	6	11	17	19	11	20	23	20	10	17	6	1	20	2	23	10	17	
23	4	22	23	5	11	6	12	7	24	12	9	1	19	3	9	12	25	21	23	
25	1	9	15	16	1	18	24	9	21	24	16	7	22	12	16	14	4	1	9	
20	4	17	24	17	7	21	17	17	19	9	13	19	21	21	22	23	8	17	1	
12	10	17	6	11	16	17	5	20	25	7	18	25	15	1	17	4	20	12	7	
5	2	22	24	14	1	11	17	7	22	15	20	25	25	25	9	12	8	11	16	
25	18	15	20	24	19	3	23	2	17	24	19	23	9	15	22	23	23	15	13	
11	12	8	13	14	21	5	18	24	9	19	10	11	6	21	23	6	18	7	7	
2	3	12	11	17	25	14	3	7	4	18	9	23	11	2	20	10	7	22	12	
20	11	14	1	15	17	10	17	8	25	20	15	11	5	4	21	21	2	5	11	
3	8	5	15	6	6	21	19	12	16	3	18	5	13	24	20	9	21	23	12	
10	2	4	24	16	6	11	17	14	6	23	4	24	9	23	8	1	14	23	18	
5	19	15	17	19	16	4	8	15	16	3	6	13	2	1	15	10	6	4	12	
14	4	11	12	11	12	14	23	9	17	20	11	15	22	25	6	15	4	2	11	
17	10	16	7	3	12	22	8	25	8	21	9	23	20	1	23	18	21	23	16	
10	19	14	11	10	9	18	7	21	14	14	6	13	19	14	17	15	19	19	20	
3	7	15	9	24	15	25	25	4	6	14	9	20	18	25	21	21	11	20	23	
21	16	25	19	17	9	11	21	4	4	11	9	16	10	21	8	2	21	20	8	
23	16	15	10	5	10	4	19	13	19	11	11	1	3	17	4	5	16	22	2	
10	5	15	7	5	24	3	7	10	13	7	4	19	19	17	3	6	6	8	15
