30
9	8	3	18	7	2	21	24	5	12	6	17	20	5	25	14	25	18	22	14	23	10	22	16	18	3	15	1	8	7	
16	18	16	14	2	16	11	6	2	6	19	24	2	24	14	8	2	22	11	22	16	23	1	5	4	5	21	8	22	7	
16	10	19	15	10	9	24	23	9	7	23	11	8	18	15	6	20	7	23	21	24	3	10	20	23	23	16	24	4	4	
2	12	10	15	20	14	18	21	22	23	2	11	20	4	20	10	15	18	21	11	16	12	2	5	17	21	3	15	4	14	
25	13	12	25	3	15	22	1	9	11	15	19	12	2	1	11	25	20	5	10	17	2	6	21	9	19	3	9	10	15	
21	16	24	13	3	21	5	9	10	9	13	7	25	10	11	4	21	16	13	10	2	13	24	11	22	24	2	4	8	14	
2	24	1	19	19	16	21	20	14	7	6	7	3	15	6	21	21	10	6	10	25	11	9	24	11	23	19	21	16	23	
21	24	15	23	13	3	24	9	6	4	17	8	17	19	21	8	15	10	23	19	23	22	19	24	10	3	25	1	12	18	
5	25	16	2	8	7	12	15	17	23	22	10	21	9	6	22	21	17	4	7	21	25	8	23	24	22	19	16	8	4	
20	9	10	23	19	6	20	6	25	1	1	8	23	18	18	23	12	8	23	6	13	2	22	6	13	23	1	6	14	3	
5	22	5	11	11	24	21	21	19	21	2	21	24	16	18	5	17	25	23	12	2	13	15	15	1	23	25	4	1	11	
13	21	19	9	12	6	25	11	22	5	16	7	5	21	11	16	23	12	10	11	17	22	15	13	24	8	2	21	21	14	
23	14	20	14	23	9	13	13	23	20	18	25	23	5	8	10	5	16	1	20	16	3	2	21	16	12	24	13	10	5	
3	15	7	2	21	3	17	19	2	8	14	5	23	15	14	7	21	12	14	1	22	3	3	8	18	12	13	3	16	12	
14	12	3	19	2	23	21	7	10	17	16	14	21	2	15	10	3	22	15	18	21	24	1	3	19	18	1	15	25	2	
14	2	19	16	13	13	17	18	17	20	17	16	22	13	2	1	17	1	2	21	15	15	12	11	15	21	8	3	3	13	
2	9	25	13	20	20	11	6	8	10	9	5	1	1	1	18	24	9	13	11	17	15	18	2	23	3	6	7	3	15	
14	1	15	14	4	10	1	25	11	23	18	7	19	14	16	7	10	2	20	5	16	20	21	23	24	4	23	7	2	24	
20	10	10	10	7	8	7	16	22	11	5	6	21	15	11	6	22	13	13	15	19	11	9	22	1	3	14	18	9	8	
9	12	7	5	24	13	20	2	19	5	3	4	15	14	16	1	18	11	21	7	6	21	11	7	18	20	19	9	5	24	
2	10	16	19	9	24	2	21	22	7	19	3	11	21	17	21	3	13	23	24	12	25	10	11	1	8	25	16	24	10	
16	25	23	7	17	22	20	22	16	8	4	5	13	11	19	16	20	5	15	19	23	10	18	18	23	11	16	23	18	16	
13	11	11	20	6	17	7	16	25	17	16	6	14	20	13	10	10	13	4	2	3	24	19	9	6	22	9	12	24	19	
11	1	18	6	17	12	8	18	14	13	17	3	8	14	2	1	7	6	22	24	22	12	22	11	12	22	24	24	10	9	
12	19	7	12	12	22	17	16	25	10	2	21	21	20	21	3	21	8	12	21	3	24	24	6	25	22	16	18	23	5	
13	21	9	11	8	21	19	25	9	18	13	22	7	6	3	5	18	13	5	17	8	3	25	11	4	16	4	5	6	2	
18	18	17	8	23	14	14	21	7	11	25	25	24	15	5	18	8	21	19	14	13	11	7	13	20	6	7	14	11	23	
24	19	17	9	6	13	25	3	3	1	20	5	7	9	8	18	12	20	9	14	15	12	2	24	6	15	21	6	2	18	
7	5	21	11	22	7	11	24	18	5	16	7	10	14	13	2	16	18	22	20	18	25	15	6	25	13	18	25	23	8	
2	12	13	5	4	4	4	4	23	25	17	7	15	20	15	2	15	19	13	9	18	21	4	3	12	14	23	6	21	23	
