25
13	9	14	11	2	2	9	13	16	10	2	19	5	11	14	16	21	20	11	3	2	9	25	14	1	
20	15	21	10	22	14	21	19	17	9	13	1	6	23	19	4	17	16	20	14	5	3	19	2	12	
16	8	18	4	12	17	24	7	17	18	9	21	3	19	2	7	13	23	9	3	5	20	16	19	14	
17	5	25	5	12	10	16	18	13	1	25	20	9	12	20	22	24	14	3	20	3	10	14	24	2	
9	23	13	5	3	13	17	14	25	5	5	10	20	20	16	5	20	3	7	6	21	11	17	1	14	
13	14	16	15	3	3	12	25	14	10	25	6	21	1	17	6	11	15	16	14	3	20	16	14	6	
7	21	24	6	23	6	14	10	8	13	17	15	6	15	8	4	18	6	16	20	16	15	7	21	9	
3	12	23	3	15	13	6	5	1	15	19	1	25	19	14	2	7	2	9	19	6	14	25	16	3	
4	17	2	11	11	18	14	24	3	13	8	1	3	22	9	20	24	12	3	12	1	13	1	21	3	
16	13	22	13	4	6	4	2	24	20	2	4	16	8	13	7	16	10	3	12	5	3	22	18	21	
1	8	17	25	3	19	23	24	18	1	25	19	1	22	19	23	15	15	15	3	20	22	11	12	16	
24	9	8	11	11	8	8	1	12	10	7	15	2	7	11	14	10	3	19	13	4	7	13	9	17	
12	8	6	10	18	15	20	9	7	23	11	3	4	15	13	17	6	6	13	5	20	9	23	16	8	
19	16	5	19	20	5	4	5	3	13	12	2	18	15	11	9	4	13	24	13	7	10	22	18	22	
23	1	19	17	17	20	17	2	6	17	17	25	1	8	13	7	6	8	7	24	6	23	7	10	23	
19	15	19	23	9	1	6	17	21	21	22	8	21	2	24	8	6	5	11	7	16	17	25	18	19	
14	1	21	24	24	8	4	6	23	8	24	23	14	5	4	15	21	5	24	5	11	22	9	2	5	
6	20	14	23	25	8	1	15	1	12	19	14	7	22	5	1	7	15	16	6	2	23	11	13	8	
3	9	2	2	6	13	25	11	14	1	17	12	15	20	2	24	8	1	1	24	9	4	18	21	16	
24	7	18	24	17	15	24	9	6	23	6	22	6	22	1	1	10	20	16	10	20	25	6	2	8	
2	14	13	19	13	11	7	9	2	14	5	3	8	24	21	5	8	8	10	5	15	16	3	20	22	
11	2	16	17	23	7	12	18	22	24	3	23	2	11	17	23	11	22	21	19	6	19	3	18	14	
22	18	16	16	6	6	9	6	21	22	6	25	16	10	8	4	23	11	12	2	10	10	5	18	8	
7	1	13	24	7	24	5	9	19	12	18	16	16	9	9	23	12	19	23	10	5	8	18	13	23	
13	12	7	23	21	24	16	1	19	19	15	9	2	16	17	11	25	1	18	25	18	8	13	21	21
